osm_element_id,longitude,latitude
489395683,146.2740701,-38.3789051
493891520,145.1698775,-37.7916164
496088208,137.7320784,-35.0435173
496817211,145.2395872,-36.907501
497197605,138.5148425,-34.891988
497587531,151.2058569,-33.83263
512095088,152.1141732,-32.7173442
512267941,138.6497747,-34.9204579
517143718,144.9815358,-37.8341478
518260635,144.0593526,-38.1002162
518303122,151.1585162,-33.8879143
519560015,144.9640556,-37.8286561
524758730,145.2889163,-37.8026737
527874305,145.1694588,-37.7635822
529842831,144.9923839,-37.8389776
538308589,153.0552312,-27.3974187
542897389,153.069975,-27.4691397
546435638,115.9437244,-31.9740906
553031968,115.8403656,-31.948001
553414018,145.7964447,-37.2549509
565452206,145.7605625,-16.9264479
567374922,116.1646524,-31.9022348
568104490,153.361875,-27.6206776
568390886,147.5053299,-42.8613506
569854331,152.7832173,-27.6393069
569855733,152.7745699,-27.6494477
569856509,152.7757286,-27.634469
572799554,116.169655,-31.8768105
575347508,144.9792926,-37.845101
575356730,144.993573,-37.852015
576857802,144.9774365,-37.8600178
578390766,144.970885,-37.829439
578839871,144.969642,-37.830586
580881340,153.0119203,-27.4808097
580881341,153.0126513,-27.4783425
581945414,144.9901706,-37.8177241
582458364,145.0001138,-37.7879325
582522430,148.2443866,-40.2088782
582732608,144.9695823,-37.8318532
583071809,144.9594127,-37.831001
583443523,151.4501987,-26.1031494
583464916,152.3215452,-26.5759237
583526123,148.015606,-40.1203784
585128047,145.7749809,-38.0854327
585128048,145.7795674,-38.0881983
585129474,151.968077,-27.5532754
585129496,151.9481433,-27.5886584
591294594,144.9668331,-37.8166015
594008573,145.2403528,-38.0785702
594339252,144.9662503,-37.8152969
594812219,144.9674652,-37.8119711
595484156,144.965992,-37.813583
595787645,144.969541,-37.8103168
595793509,144.9708339,-37.812154
595793600,144.969651,-37.812155
596135598,152.4518446,-27.5656017
600174860,145.5407943,-41.7790288
600611153,145.0174027,-37.4034711
601725694,151.691194,-26.1782094
603998985,145.1573755,-37.8887495
603999002,145.1579482,-37.8943155
607060666,145.1490223,-37.8768476
607060675,145.1488764,-37.8768393
607756380,144.9647057,-37.8180719
608812323,144.9621509,-37.8177302
612015886,144.9634495,-37.8153619
612556241,146.304978,-36.3532095
612556567,146.300091,-36.3481359
612556882,146.3037764,-36.3590159
612558869,146.3192684,-36.3789615
612785332,146.2983145,-36.3544899
612785661,146.3114187,-36.3452478
612785719,146.3027647,-36.3583453
612785779,146.3167402,-36.3718924
612786322,146.2928997,-36.3690022
612786453,146.3159931,-36.3655731
613316143,144.9620818,-37.8143347
614041131,144.972173,-37.811806
614502866,144.960495,-37.813985
614532091,146.3787491,-36.5759338
617482590,153.0277411,-27.472809
618463612,145.2911097,-38.0789173
621107665,151.7529165,-32.9106805
622313296,144.9789495,-37.7964901
622354422,150.2490641,-31.3946032
622354425,150.4258228,-31.4066294
623879153,144.9749415,-37.7962793
628497541,115.7153506,-31.6891528
631458488,115.8939258,-32.0390931
631458830,149.1341505,-35.320014
632244714,153.0297942,-27.4703388
632937794,146.4307777,-36.4498627
634757647,144.9567415,-37.8129725
634800534,149.5741712,-33.4227849
634965951,149.2067846,-35.3637276
639501861,151.1152937,-33.8464885
642429650,144.9545735,-37.8194311
642709036,144.9542821,-37.8188477
646215518,144.9542122,-37.8183956
647761884,146.232745,-42.1315038
649778879,153.0259775,-27.4675336
