SA1_CODE_2021,Tot_Tot,Negative_Nil_income_Tot,HI_1500_1749_Tot,HI_2000_2499_Tot
10104102601,245,0,5,23
10104102603,158,4,8,15
10104102604,161,0,14,16
10104102605,267,5,16,17
10104102606,135,3,3,16
10104102607,179,0,9,31
10104102608,152,0,7,12
10104102609,181,6,7,11
10104102610,85,0,4,9
10104102611,76,6,3,6
10104102613,141,0,12,15
10104102614,259,0,25,23
10104102615,172,0,12,20
10104102616,80,3,3,16
10104102617,102,0,8,5
10104102618,139,3,6,9
10104102619,140,0,7,17
10104102620,126,4,3,12
10104102621,148,0,7,16
10104102622,107,3,8,9
10104102623,137,0,5,12
10104102624,105,4,3,7
10104102625,21,0,3,0
10104102626,260,6,13,21
10104102627,23,0,0,3
10104102701,113,0,10,6
10104102702,167,0,9,9
10104102703,86,5,8,15
10104102704,133,0,12,10
10104102705,190,6,12,17
10104102706,207,3,5,11
10104102707,238,7,19,19
10104102708,138,0,10,10
10104102709,262,6,22,36
10104102710,97,0,0,10
10104102711,0,0,0,0
10104102712,194,9,17,19
10104102713,183,8,17,11
10104102714,0,0,0,0
10104102715,10,0,0,0
10104102716,0,0,0,0
10104102719,190,4,5,22
10104102720,144,5,8,8
10104102721,311,9,12,12
10104102722,36,0,0,0
10104102723,124,5,3,6
10104102724,168,0,12,16
10104102725,150,0,7,6
10104102726,114,0,7,19
10104102728,186,5,3,10
10104102729,284,9,17,12
10104102730,14,0,0,0
10104102731,165,0,9,20
10104102732,153,0,5,7
10104102733,149,0,9,10
10105153901,70,0,0,5
10105153902,104,0,10,18
10105153903,108,0,4,10
10105153904,226,0,18,19
10105153905,140,0,10,17
10105153906,116,0,9,20
10105153907,50,0,0,0
10105153909,106,4,5,12
10105153910,72,0,3,11
10105153911,170,6,6,28
10105153912,213,3,13,28
10105153913,96,6,4,12
10105153914,140,0,4,18
10105153915,122,5,4,11
10105153916,201,3,9,23
10105153917,124,0,4,8
10105153918,140,6,4,11
10105153919,221,7,11,29
10105153920,265,7,20,45
10105153921,151,3,17,16
10105153922,194,4,6,17
10105153923,140,0,8,20
10105153924,162,5,6,7
10105153925,210,9,22,14
10105153926,177,0,7,22
10105153927,97,0,7,14
10105153928,42,0,0,6
10105153929,218,0,13,26
10105153930,142,0,10,12
10105153931,176,4,11,10
10105153932,166,0,13,20
10105153933,122,0,10,11
10105153934,126,0,10,18
10105153935,215,4,12,17
10105153936,136,0,9,16
10105153937,174,3,3,11
10105153938,113,0,8,7
10105153939,129,12,10,6
10105153940,86,0,3,10
10105153941,80,0,8,14
10105153942,202,0,5,19
10105153943,159,0,12,16
10105153944,203,0,13,26
10105153945,121,4,6,21
10105153946,104,0,4,15
10105153947,157,4,3,12
10105153948,112,0,3,11
10105153949,44,0,3,5
10105153950,178,4,11,25
10105153951,142,0,9,11
10105153952,134,0,3,8
10105153953,134,0,6,26
10105153954,182,6,4,10
10105153955,97,0,9,7
10105153956,176,4,18,26
10105153957,216,8,15,25
10105153958,3,0,0,0
10105153959,136,0,12,9
10105153960,108,5,5,12
10105153961,116,5,11,15
10105153962,158,0,5,19
10105153963,78,9,0,7
10105153964,181,0,11,13
10105153965,0,0,0,0
10105153966,295,5,26,56
10105153967,0,0,0,0
10105153968,71,0,7,12
10105153969,134,0,10,16
10105153970,93,0,3,14
10105154001,284,6,22,35
10105154002,147,5,10,10
10105154003,145,7,3,10
10105154004,245,3,15,32
10105154005,143,0,10,23
10105154006,190,3,10,19
10105154007,116,0,3,13
10105154008,143,6,10,10
10105154009,87,3,3,10
10105154010,189,3,10,19
10105154011,145,0,8,11
10105154012,165,8,7,18
10105154014,137,0,8,3
10105154015,112,0,9,17
10105154016,197,5,6,24
10105154017,161,0,11,26
10105154018,126,9,5,13
10105154019,97,5,4,9
10105154020,184,5,12,14
10105154021,226,0,7,24
10105154022,106,3,7,20
10105154023,172,8,3,19
10105154024,172,3,7,23
10105154025,97,6,3,13
10105154026,112,0,4,10
10105154027,113,5,5,9
10105154028,119,0,4,16
10105154029,160,4,7,16
10105154030,123,5,7,16
10105154031,245,0,20,28
10105154032,89,6,7,10
10105154033,132,0,7,10
10105154034,94,0,3,9
10105154035,89,0,7,15
10106154101,279,4,15,23
10106154102,214,0,15,22
10106154103,230,3,12,8
10106154104,108,0,9,5
10106154105,175,5,11,25
10106154106,183,7,17,18
10106154107,237,4,20,32
10106154108,97,4,7,12
10106154109,152,6,12,12
10106154111,220,5,14,27
10106154112,182,0,4,26
10106154113,138,4,10,13
10106154115,173,0,9,22
10106154116,0,0,0,0
10106154117,55,0,5,3
10106154118,60,0,5,4
10106154201,104,0,4,10
10106154202,75,0,8,0
10106154203,88,3,0,10
10106154204,129,3,12,14
10106154206,82,0,0,13
10106154207,97,0,6,8
10106154208,125,0,9,16
10106154209,96,0,4,6
10106154210,146,3,6,10
10106154211,107,0,0,8
10106154212,104,0,9,8
10106154213,167,0,12,10
10106154215,0,0,0,0
10106154216,123,4,11,10
10106154217,214,0,10,17
10106154219,126,0,5,15
10106154220,125,4,0,15
10106154222,110,0,5,11
10106154223,164,0,4,18
10106154224,100,0,4,14
10106154226,93,0,4,6
10106154227,87,5,5,8
10106154228,157,0,7,14
10106154229,48,0,3,5
10106154231,113,0,10,18
10106154232,81,0,0,10
10106154233,99,0,4,3
10106154234,110,3,5,12
10106154235,102,0,0,15
10106154236,61,0,3,4
10106154237,86,0,0,11
10106154238,103,4,4,15
10106154239,161,3,9,13
10106154240,231,0,9,28
10106154241,140,4,7,8
10106154242,85,0,0,0
10106154243,143,0,9,17
10106154301,243,7,13,21
10106154302,153,0,6,14
10106154303,172,5,9,18
10106154304,109,3,5,10
10106154305,165,4,11,10
10106154306,198,4,9,25
10106154307,89,3,6,9
10106154308,200,3,13,18
10106154309,124,0,6,13
10106154310,75,0,0,10
10106154311,113,4,3,12
10106154312,138,0,4,7
10106154313,200,5,6,18
10106154314,153,3,6,19
10106154315,171,0,12,15
10106154316,237,0,16,23
10106154317,73,0,0,5
10106154318,177,3,7,9
10106154319,130,0,12,6
10106154320,36,0,0,0
10106154321,136,3,5,18
10106154322,191,3,14,28
10106154323,91,0,6,11
10106154324,105,0,3,14
10106154325,166,9,9,22
10106154326,130,5,8,14
10106154327,91,0,8,11
10106154328,156,3,5,13
10106154329,73,3,0,12
10106154330,114,0,7,5
10106154401,62,0,0,4
10106154402,113,0,5,13
10106154403,117,0,4,5
10106154404,159,0,10,16
10106154405,129,0,3,13
10106154406,94,0,6,13
10106154408,154,4,14,9
10106154409,157,9,9,16
10106154410,162,0,6,13
10106154411,160,3,6,21
10106154412,139,3,6,11
10106154413,132,4,3,9
10106154414,130,4,4,11
10106154415,156,4,6,12
10106154416,116,3,3,3
10106154417,246,4,7,27
10106154418,148,3,9,17
10106154419,161,3,11,13
10106154420,97,5,4,5
10106154421,159,3,8,12
10106154422,26,0,0,0
10106154423,187,0,12,18
10201102801,0,0,0,0
10201102802,195,3,11,21
10201102803,240,7,10,15
10201102804,87,0,5,14
10201102805,106,4,11,10
10201102806,124,0,3,10
10201102807,177,0,8,16
10201102808,127,3,6,12
10201102809,204,0,4,20
10201102810,164,0,14,17
10201102811,142,0,11,13
10201102812,148,0,7,12
10201102813,133,7,6,19
10201102814,173,4,6,23
10201102815,122,6,4,15
10201102816,107,4,9,6
10201102817,138,0,6,9
10201102818,140,0,10,20
10201102901,120,5,5,10
10201102902,137,0,11,17
10201102903,172,6,9,16
10201102904,176,4,5,20
10201102905,131,0,7,15
10201102906,107,4,6,6
10201102907,121,0,0,10
10201102908,160,5,8,9
10201102909,167,8,10,14
10201102910,192,7,7,16
10201102911,207,0,6,25
10201102912,180,3,9,25
10201102913,113,0,5,15
10201102914,97,0,3,7
10201102915,176,0,9,22
10201102916,140,6,6,16
10201102917,105,0,9,12
10201102918,150,0,10,14
10201102919,179,9,5,12
10201102920,0,0,0,0
10201102921,0,0,0,0
10201102922,163,0,4,16
10201102923,128,0,10,14
10201102924,157,0,11,18
10201102925,209,6,10,28
10201102926,118,7,7,12
10201102927,231,3,13,22
10201102928,405,7,13,8
10201103002,203,9,8,17
10201103003,83,0,3,7
10201103004,83,5,0,9
10201103005,73,0,7,7
10201103006,114,0,9,15
10201103007,126,3,3,11
10201103008,69,0,7,6
10201103009,120,7,4,9
10201103010,200,9,4,17
10201103011,248,6,10,25
10201103012,176,3,9,15
10201103013,7,0,0,0
10201103014,129,0,5,7
10201103101,115,4,7,10
10201103102,142,5,5,3
10201103103,302,0,7,4
10201103104,292,11,7,10
10201103105,177,8,11,7
10201103106,104,3,5,14
10201103107,12,0,0,3
10201103108,81,0,4,10
10201103109,86,3,3,9
10201103110,179,6,12,17
10201103111,144,0,10,14
10201103112,56,0,5,4
10201103113,145,0,3,5
10201103114,146,0,8,18
10201103115,159,0,4,11
10201103116,159,7,10,18
10201103117,138,4,3,8
10201103118,116,3,3,3
10201103119,135,0,3,13
10201103120,144,0,0,13
10201103121,102,0,4,13
10201103122,153,0,13,23
10201103123,165,3,9,14
10201103124,130,0,3,13
10201103125,101,0,4,12
10201103126,331,10,8,4
10201103127,113,0,6,15
10201103128,52,0,3,4
10201103129,187,0,5,18
10201103130,99,0,3,8
10201103131,422,19,16,17
10201103132,3,0,0,0
10201103133,145,0,9,11
10201103134,164,0,8,13
10201103135,166,0,3,15
10201103136,140,0,11,16
10201103137,91,0,0,6
10201103138,220,6,15,29
10201103201,142,0,8,15
10201103202,181,6,12,22
10201103203,250,9,13,46
10201103204,380,8,32,45
10201103205,134,3,6,11
10201103206,24,3,0,0
10201103207,227,9,16,39
10201103208,333,10,30,43
10201103210,98,0,6,7
10201103211,210,0,14,22
10201103212,184,4,3,21
10201103213,31,0,4,6
10201103214,228,6,7,36
10201103215,68,3,3,15
10201103216,115,0,9,20
10201103217,68,0,7,5
10201103218,173,0,18,25
10201103219,151,3,12,24
10201103220,194,3,21,29
10201103221,147,4,8,10
10201103223,4,0,0,0
10201103224,396,11,26,52
10201103225,80,0,9,14
10201103226,143,0,16,19
10201103227,242,6,6,18
10201103228,400,5,10,25
10201103229,220,7,11,33
10201103230,262,6,13,24
10201103231,230,6,12,30
10201103232,195,6,6,26
10201103233,98,0,3,21
10201103234,286,3,17,45
10201103235,178,0,8,15
10201103236,237,4,18,23
10201103237,435,6,37,73
10201103238,124,0,5,16
10201103239,273,10,23,18
10201103240,208,4,13,19
10201103241,283,0,28,28
10201103242,336,4,21,40
10201103243,205,5,10,17
10201103244,290,8,0,16
10201103245,263,10,19,27
10201103246,122,0,6,11
10201103247,150,0,6,18
10201103248,192,3,10,19
10201103301,71,0,6,9
10201103302,178,0,14,27
10201103303,137,0,6,18
10201103304,121,3,5,18
10201103305,103,0,6,17
10201103306,96,0,6,13
10201103307,68,0,10,14
10201103308,138,7,11,8
10201103309,3,0,0,0
10201103310,111,0,4,14
10201103311,129,3,15,13
10201103312,106,0,8,11
10201103313,99,0,0,13
10201103314,114,4,15,16
10201103315,246,0,11,28
10201103316,0,0,0,0
10201103317,186,0,18,23
10201103318,67,0,6,14
10201103319,133,3,12,19
10201103320,3,0,0,0
10201103401,143,4,9,19
10201103402,138,4,7,18
